epoch,train,best_epoch,best_train
1,6.343395709991455,1,6.343395709991455
2,6.349208354949951,1,6.343395709991455
3,6.339663147926331,3,6.339663147926331
4,6.329594016075134,4,6.329594016075134
5,6.331309080123901,4,6.329594016075134
6,6.3261919021606445,6,6.3261919021606445
7,6.325339436531067,7,6.325339436531067
8,6.326984286308289,7,6.325339436531067
9,6.324673414230347,9,6.324673414230347
10,6.3226635456085205,10,6.3226635456085205
11,6.323192715644836,10,6.3226635456085205
12,6.324583530426025,10,6.3226635456085205
13,6.323060035705566,10,6.3226635456085205
14,6.322594404220581,14,6.322594404220581
15,6.322455883026123,15,6.322455883026123
16,6.32267439365387,15,6.322455883026123
17,6.321980834007263,17,6.321980834007263
18,6.32319712638855,17,6.321980834007263
19,6.322886824607849,17,6.321980834007263
20,6.323303580284119,17,6.321980834007263
21,6.32321560382843,17,6.321980834007263
22,6.320961356163025,22,6.320961356163025
23,6.3236682415008545,22,6.320961356163025
24,6.322173118591309,22,6.320961356163025
25,6.322300672531128,22,6.320961356163025
26,6.322314143180847,22,6.320961356163025
27,6.322247385978699,22,6.320961356163025
28,6.322918891906738,22,6.320961356163025
29,6.322085380554199,22,6.320961356163025
30,6.321799039840698,22,6.320961356163025
31,6.322019100189209,22,6.320961356163025
