epoch,train,valid,test,best_train,best_valid,best_test
1,0.7880184331797235,0.7735849056603774,0.7209302325581395,"(0.7880184331797235, 1)","(0.7735849056603774, 1)","(0.7209302325581395, 1)"
2,0.7972350230414746,0.7735849056603774,0.7286821705426356,"(0.7972350230414746, 2)","(0.7735849056603774, 1)","(0.7286821705426356, 2)"
3,0.8110599078341014,0.7924528301886793,0.7441860465116279,"(0.8110599078341014, 3)","(0.7924528301886793, 3)","(0.7441860465116279, 3)"
4,0.8064516129032258,0.7547169811320755,0.7286821705426356,"(0.8110599078341014, 3)","(0.7924528301886793, 3)","(0.7441860465116279, 3)"
5,0.8064516129032258,0.7735849056603774,0.7364341085271318,"(0.8110599078341014, 3)","(0.7924528301886793, 3)","(0.7441860465116279, 3)"
6,0.815668202764977,0.7735849056603774,0.7364341085271318,"(0.815668202764977, 6)","(0.7924528301886793, 3)","(0.7441860465116279, 3)"
7,0.8248847926267281,0.7547169811320755,0.7596899224806202,"(0.8248847926267281, 7)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
8,0.8202764976958525,0.7169811320754716,0.7441860465116279,"(0.8248847926267281, 7)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
9,0.7926267281105991,0.7735849056603774,0.7286821705426356,"(0.8248847926267281, 7)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
10,0.8341013824884793,0.7735849056603774,0.7286821705426356,"(0.8341013824884793, 10)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
11,0.8387096774193549,0.7358490566037735,0.7131782945736435,"(0.8387096774193549, 11)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
12,0.7972350230414746,0.7169811320754716,0.7286821705426356,"(0.8387096774193549, 11)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
13,0.8248847926267281,0.7169811320754716,0.7364341085271318,"(0.8387096774193549, 11)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
14,0.8064516129032258,0.7735849056603774,0.7596899224806202,"(0.8387096774193549, 11)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
15,0.8248847926267281,0.7358490566037735,0.7364341085271318,"(0.8387096774193549, 11)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
16,0.8018433179723502,0.7358490566037735,0.7364341085271318,"(0.8387096774193549, 11)","(0.7924528301886793, 3)","(0.7596899224806202, 7)"
17,0.815668202764977,0.8113207547169812,0.7364341085271318,"(0.8387096774193549, 11)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
18,0.8294930875576036,0.7358490566037735,0.7441860465116279,"(0.8387096774193549, 11)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
19,0.8387096774193549,0.7547169811320755,0.7441860465116279,"(0.8387096774193549, 11)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
20,0.8433179723502304,0.7735849056603774,0.7441860465116279,"(0.8433179723502304, 20)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
21,0.8341013824884793,0.7358490566037735,0.7441860465116279,"(0.8433179723502304, 20)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
22,0.8341013824884793,0.7547169811320755,0.7364341085271318,"(0.8433179723502304, 20)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
23,0.847926267281106,0.7547169811320755,0.7209302325581395,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
24,0.8341013824884793,0.7735849056603774,0.7209302325581395,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
25,0.8433179723502304,0.7924528301886793,0.7131782945736435,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
26,0.8294930875576036,0.7735849056603774,0.7441860465116279,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
27,0.8248847926267281,0.7547169811320755,0.7286821705426356,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
28,0.8294930875576036,0.7547169811320755,0.7364341085271318,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
29,0.8341013824884793,0.7547169811320755,0.7364341085271318,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
30,0.847926267281106,0.7924528301886793,0.7209302325581395,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
31,0.8248847926267281,0.7358490566037735,0.7441860465116279,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
32,0.8387096774193549,0.7735849056603774,0.7441860465116279,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
33,0.8341013824884793,0.7735849056603774,0.7596899224806202,"(0.847926267281106, 23)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
34,0.8571428571428571,0.7924528301886793,0.7209302325581395,"(0.8571428571428571, 34)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
35,0.8433179723502304,0.7547169811320755,0.7131782945736435,"(0.8571428571428571, 34)","(0.8113207547169812, 17)","(0.7596899224806202, 7)"
