epoch,train,valid,test,best_train,best_valid,best_test
1,0.8081987359550562,0.750733137829912,0.6438775510204082,"(np.float64(0.8081987359550562), 1)","(np.float64(0.750733137829912), 1)","(np.float64(0.6438775510204082), 1)"
2,0.8296172752808988,0.782991202346041,0.6602040816326531,"(np.float64(0.8296172752808988), 2)","(np.float64(0.782991202346041), 2)","(np.float64(0.6602040816326531), 2)"
3,0.8534058988764045,0.7434017595307918,0.6729591836734694,"(np.float64(0.8534058988764045), 3)","(np.float64(0.782991202346041), 2)","(np.float64(0.6729591836734694), 3)"
4,0.835498595505618,0.781524926686217,0.6522959183673469,"(np.float64(0.8534058988764045), 3)","(np.float64(0.782991202346041), 2)","(np.float64(0.6729591836734694), 3)"
5,0.8468223314606742,0.7302052785923753,0.6576530612244897,"(np.float64(0.8534058988764045), 3)","(np.float64(0.782991202346041), 2)","(np.float64(0.6729591836734694), 3)"
6,0.8360252808988764,0.7668621700879765,0.6431122448979592,"(np.float64(0.8534058988764045), 3)","(np.float64(0.782991202346041), 2)","(np.float64(0.6729591836734694), 3)"
7,0.846120084269663,0.7859237536656891,0.6637755102040817,"(np.float64(0.8534058988764045), 3)","(np.float64(0.7859237536656891), 7)","(np.float64(0.6729591836734694), 3)"
8,0.8614817415730337,0.7580645161290323,0.6591836734693877,"(np.float64(0.8614817415730337), 8)","(np.float64(0.7859237536656891), 7)","(np.float64(0.6729591836734694), 3)"
9,0.8364641853932584,0.7859237536656891,0.6816326530612244,"(np.float64(0.8614817415730337), 8)","(np.float64(0.7859237536656891), 7)","(np.float64(0.6816326530612244), 9)"
10,0.8570926966292135,0.8167155425219941,0.6438775510204082,"(np.float64(0.8614817415730337), 8)","(np.float64(0.8167155425219941), 10)","(np.float64(0.6816326530612244), 9)"
11,0.845681179775281,0.8255131964809385,0.6512755102040816,"(np.float64(0.8614817415730337), 8)","(np.float64(0.8255131964809385), 11)","(np.float64(0.6816326530612244), 9)"
12,0.8427844101123596,0.7478005865102639,0.6678571428571428,"(np.float64(0.8614817415730337), 8)","(np.float64(0.8255131964809385), 11)","(np.float64(0.6816326530612244), 9)"
13,0.8526158707865169,0.7888563049853373,0.6744897959183673,"(np.float64(0.8614817415730337), 8)","(np.float64(0.8255131964809385), 11)","(np.float64(0.6816326530612244), 9)"
14,0.8419066011235956,0.8079178885630498,0.6683673469387755,"(np.float64(0.8614817415730337), 8)","(np.float64(0.8255131964809385), 11)","(np.float64(0.6816326530612244), 9)"
15,0.8501580056179775,0.7683284457478006,0.6369897959183674,"(np.float64(0.8614817415730337), 8)","(np.float64(0.8255131964809385), 11)","(np.float64(0.6816326530612244), 9)"
16,0.8486657303370786,0.7595307917888564,0.6415816326530612,"(np.float64(0.8614817415730337), 8)","(np.float64(0.8255131964809385), 11)","(np.float64(0.6816326530612244), 9)"
