epoch,train,valid,test,best_train,best_valid,best_test
1,0.6933232317871761,0.6907848119735718,0.6897571682929993,"(0.6933232317871761, 1)","(0.6907848119735718, 1)","(0.6897571682929993, 1)"
2,0.6897186535294704,0.6883613467216492,0.6861657500267029,"(0.6897186535294704, 2)","(0.6883613467216492, 2)","(0.6861657500267029, 2)"
3,0.6871058267931784,0.6854565739631653,0.6816034913063049,"(0.6871058267931784, 3)","(0.6854565739631653, 3)","(0.6816034913063049, 3)"
4,0.6849037002308578,0.682824969291687,0.6770390868186951,"(0.6849037002308578, 4)","(0.682824969291687, 4)","(0.6770390868186951, 4)"
5,0.6812118539063062,0.6797152757644653,0.6701430678367615,"(0.6812118539063062, 5)","(0.6797152757644653, 5)","(0.6701430678367615, 5)"
6,0.6780137546051482,0.6793580651283264,0.6641348600387573,"(0.6780137546051482, 6)","(0.6793580651283264, 6)","(0.6641348600387573, 6)"
7,0.6830232475759797,0.679678738117218,0.6638692021369934,"(0.6780137546051482, 6)","(0.6793580651283264, 6)","(0.6638692021369934, 7)"
8,0.6771886453101162,0.6789713501930237,0.6659371256828308,"(0.6771886453101162, 8)","(0.6789713501930237, 8)","(0.6638692021369934, 7)"
9,0.6773824147914412,0.6789953112602234,0.6659882068634033,"(0.6771886453101162, 8)","(0.6789713501930237, 8)","(0.6638692021369934, 7)"
10,0.6770307940821494,0.6789993643760681,0.666494607925415,"(0.6770307940821494, 10)","(0.6789713501930237, 8)","(0.6638692021369934, 7)"
11,0.6790244439230536,0.6804934740066528,0.6636707782745361,"(0.6770307940821494, 10)","(0.6789713501930237, 8)","(0.6636707782745361, 11)"
12,0.677271166430091,0.6800938844680786,0.6639949083328247,"(0.6770307940821494, 10)","(0.6789713501930237, 8)","(0.6636707782745361, 11)"
13,0.678618970829221,0.6817768812179565,0.6634763479232788,"(0.6770307940821494, 10)","(0.6789713501930237, 8)","(0.6634763479232788, 13)"
14,0.6768061257727135,0.6793975830078125,0.6649240851402283,"(0.6768061257727135, 14)","(0.6789713501930237, 8)","(0.6634763479232788, 13)"
15,0.6768235369212067,0.6802000403404236,0.6640758514404297,"(0.6768061257727135, 14)","(0.6789713501930237, 8)","(0.6634763479232788, 13)"
16,0.6771096809668475,0.6793049573898315,0.6652675867080688,"(0.6768061257727135, 14)","(0.6789713501930237, 8)","(0.6634763479232788, 13)"
17,0.6783493650124369,0.6805905103683472,0.6639746427536011,"(0.6768061257727135, 14)","(0.6789713501930237, 8)","(0.6634763479232788, 13)"
18,0.6787754506010064,0.6808231472969055,0.6638767719268799,"(0.6768061257727135, 14)","(0.6789713501930237, 8)","(0.6634763479232788, 13)"
19,0.6782958403161045,0.6796878576278687,0.6644249558448792,"(0.6768061257727135, 14)","(0.6789713501930237, 8)","(0.6634763479232788, 13)"
