epoch,final_epoch,final_loss,final_acc,final_auc,final_precision,final_recall,final_f1_score
1,1,0.6656686663627625,0.6201550387596899,0.5681122448979592,0.0,0.0,0.0
2,2,0.6657468676567078,0.6201550387596899,0.5822704081632653,0.0,0.0,0.0
3,2,0.6657454967498779,0.6201550387596899,0.5647959183673469,0.0,0.0,0.0
4,4,0.6659855246543884,0.6201550387596899,0.5600765306122448,0.0,0.0,0.0
5,4,0.6661373376846313,0.6201550387596899,0.5311224489795918,0.0,0.0,0.0
6,4,0.666229248046875,0.6201550387596899,0.5498724489795919,0.0,0.0,0.0
7,4,0.6661563515663147,0.6201550387596899,0.549234693877551,0.0,0.0,0.0
8,4,0.665993869304657,0.6201550387596899,0.536734693877551,0.0,0.0,0.0
9,4,0.6660197377204895,0.6201550387596899,0.553826530612245,0.0,0.0,0.0
10,4,0.6661130785942078,0.6201550387596899,0.5385204081632653,0.0,0.0,0.0
11,4,0.665973961353302,0.6201550387596899,0.5508928571428571,0.0,0.0,0.0
12,4,0.6660733222961426,0.6201550387596899,0.5451530612244898,0.0,0.0,0.0
13,4,0.6659237742424011,0.6201550387596899,0.5378826530612245,0.0,0.0,0.0
14,14,0.6661749482154846,0.6201550387596899,0.5433673469387756,0.0,0.0,0.0
15,15,0.665928304195404,0.6201550387596899,0.5511479591836735,0.0,0.0,0.0
16,15,0.6660591959953308,0.6201550387596899,0.5586734693877551,0.0,0.0,0.0
17,15,0.6660365462303162,0.6201550387596899,0.5487244897959185,0.0,0.0,0.0
18,15,0.6659983396530151,0.6201550387596899,0.5297193877551021,0.0,0.0,0.0
19,15,0.6660951972007751,0.6201550387596899,0.5668367346938775,0.0,0.0,0.0
20,15,0.6660434007644653,0.6201550387596899,0.534311224489796,0.0,0.0,0.0
21,15,0.6659575700759888,0.6201550387596899,0.5535714285714286,0.0,0.0,0.0
22,15,0.6660495400428772,0.6201550387596899,0.5698979591836735,0.0,0.0,0.0
23,15,0.6659983992576599,0.6201550387596899,0.5408163265306123,0.0,0.0,0.0
24,24,0.6660576462745667,0.6201550387596899,0.5568877551020408,0.0,0.0,0.0
25,24,0.6660231351852417,0.6201550387596899,0.5654336734693878,0.0,0.0,0.0
26,24,0.6660214066505432,0.6201550387596899,0.5693877551020409,0.0,0.0,0.0
27,24,0.6659667491912842,0.6201550387596899,0.560204081632653,0.0,0.0,0.0
28,24,0.6659642457962036,0.6201550387596899,0.5383928571428571,0.0,0.0,0.0
29,24,0.6660287380218506,0.6201550387596899,0.5496173469387755,0.0,0.0,0.0
30,24,0.6659908890724182,0.6201550387596899,0.5317602040816326,0.0,0.0,0.0
31,24,0.6660133600234985,0.6201550387596899,0.5345663265306123,0.0,0.0,0.0
32,24,0.6660318374633789,0.6201550387596899,0.5584183673469388,0.0,0.0,0.0
33,24,0.6660211682319641,0.6201550387596899,0.5353316326530613,0.0,0.0,0.0
34,24,0.666019082069397,0.6201550387596899,0.5508928571428573,0.0,0.0,0.0
35,24,0.6660056114196777,0.6201550387596899,0.5387755102040817,0.0,0.0,0.0
36,24,0.6660410761833191,0.6201550387596899,0.515561224489796,0.0,0.0,0.0
37,24,0.6660094261169434,0.6201550387596899,0.5627551020408164,0.0,0.0,0.0
38,24,0.6660226583480835,0.6201550387596899,0.5589285714285714,0.0,0.0,0.0
39,24,0.6660258769989014,0.6201550387596899,0.5230867346938776,0.0,0.0,0.0
40,24,0.666020393371582,0.6201550387596899,0.5455357142857143,0.0,0.0,0.0
