epoch,train,valid,test,best_train,best_valid,best_test
1,0.6774914261932197,0.6787533760070801,0.6656686663627625,"(0.6774914261932197, 1)","(0.6787533760070801, 1)","(0.6656686663627625, 1)"
2,0.6773622750137259,0.6787358522415161,0.6657468676567078,"(0.6773622750137259, 2)","(0.6787358522415161, 2)","(0.6656686663627625, 1)"
3,0.6771840675635272,0.6787362098693848,0.6657454967498779,"(0.6771840675635272, 3)","(0.6787358522415161, 2)","(0.6656686663627625, 1)"
4,0.6774445673287739,0.6786940693855286,0.6659855246543884,"(0.6771840675635272, 3)","(0.6786940693855286, 4)","(0.6656686663627625, 1)"
5,0.6773519702770743,0.6786763072013855,0.6661373376846313,"(0.6771840675635272, 3)","(0.6786763072013855, 5)","(0.6656686663627625, 1)"
6,0.6772600063530531,0.6786685585975647,0.666229248046875,"(0.6771840675635272, 3)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
7,0.6772504264857911,0.6786744594573975,0.6661563515663147,"(0.6771840675635272, 3)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
8,0.6772648244409517,0.6786929368972778,0.665993869304657,"(0.6771840675635272, 3)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
9,0.6773754696142839,0.67868971824646,0.6660197377204895,"(0.6771840675635272, 3)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
10,0.6773618910169821,0.6786787509918213,0.6661130785942078,"(0.6771840675635272, 3)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
11,0.6772996275106333,0.678695559501648,0.665973961353302,"(0.6771840675635272, 3)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
12,0.6771266320334052,0.678682804107666,0.6660733222961426,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
13,0.6772162845607177,0.6787025928497314,0.6659237742424011,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
14,0.6771624154209541,0.6786725521087646,0.6661749482154846,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
15,0.6772231816696132,0.6787019968032837,0.665928304195404,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
16,0.6771548195368683,0.6786847114562988,0.6660591959953308,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
17,0.6771964172613786,0.6786873936653137,0.6660365462303162,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
18,0.6772775878005314,0.6786922216415405,0.6659983396530151,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
19,0.6772022826880354,0.6786803007125854,0.6660951972007751,"(0.6771266320334052, 12)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
20,0.6770955120912895,0.6786867380142212,0.6660434007644653,"(0.6770955120912895, 20)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
21,0.6771256190291198,0.6786980628967285,0.6659575700759888,"(0.6770955120912895, 20)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
22,0.6771532810778113,0.6786856055259705,0.6660495400428772,"(0.6770955120912895, 20)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
23,0.6770117417458565,0.6786921620368958,0.6659983992576599,"(0.6770117417458565, 23)","(0.6786685585975647, 6)","(0.6656686663627625, 1)"
