epoch,train,valid,test,best_train,best_valid,best_test
1,0.4269662921348314,0.49853372434017595,0.6668367346938775,"(np.float64(0.4269662921348314), 1)","(np.float64(0.49853372434017595), 1)","(np.float64(0.6668367346938775), 1)"
2,0.4437324438202247,0.4589442815249267,0.6089285714285714,"(np.float64(0.4437324438202247), 2)","(np.float64(0.49853372434017595), 1)","(np.float64(0.6668367346938775), 1)"
3,0.484813904494382,0.501466275659824,0.5943877551020408,"(np.float64(0.484813904494382), 3)","(np.float64(0.501466275659824), 3)","(np.float64(0.6668367346938775), 1)"
4,0.4510182584269663,0.49853372434017595,0.5964285714285714,"(np.float64(0.484813904494382), 3)","(np.float64(0.501466275659824), 3)","(np.float64(0.6668367346938775), 1)"
5,0.4885884831460674,0.46187683284457476,0.5410714285714285,"(np.float64(0.4885884831460674), 5)","(np.float64(0.501466275659824), 3)","(np.float64(0.6668367346938775), 1)"
6,0.5478405898876405,0.48240469208211145,0.4928571428571428,"(np.float64(0.5478405898876405), 6)","(np.float64(0.501466275659824), 3)","(np.float64(0.6668367346938775), 1)"
7,0.5361657303370786,0.5073313782991202,0.48188775510204085,"(np.float64(0.5478405898876405), 6)","(np.float64(0.5073313782991202), 7)","(np.float64(0.6668367346938775), 1)"
8,0.5635533707865168,0.5058651026392962,0.48010204081632657,"(np.float64(0.5635533707865168), 8)","(np.float64(0.5073313782991202), 7)","(np.float64(0.6668367346938775), 1)"
9,0.5332689606741573,0.5205278592375366,0.461734693877551,"(np.float64(0.5635533707865168), 8)","(np.float64(0.5205278592375366), 9)","(np.float64(0.6668367346938775), 1)"
10,0.5751404494382022,0.5351906158357771,0.48112244897959183,"(np.float64(0.5751404494382022), 10)","(np.float64(0.5351906158357771), 10)","(np.float64(0.6668367346938775), 1)"
11,0.5569698033707865,0.5263929618768328,0.46377551020408164,"(np.float64(0.5751404494382022), 10)","(np.float64(0.5351906158357771), 10)","(np.float64(0.6668367346938775), 1)"
12,0.5891853932584269,0.5263929618768328,0.47525510204081634,"(np.float64(0.5891853932584269), 12)","(np.float64(0.5351906158357771), 10)","(np.float64(0.6668367346938775), 1)"
13,0.5827773876404495,0.563049853372434,0.4987244897959183,"(np.float64(0.5891853932584269), 12)","(np.float64(0.563049853372434), 13)","(np.float64(0.6668367346938775), 1)"
14,0.5767205056179775,0.5542521994134897,0.47806122448979593,"(np.float64(0.5891853932584269), 12)","(np.float64(0.563049853372434), 13)","(np.float64(0.6668367346938775), 1)"
15,0.5860252808988764,0.5645161290322581,0.4798469387755102,"(np.float64(0.5891853932584269), 12)","(np.float64(0.5645161290322581), 15)","(np.float64(0.6668367346938775), 1)"
16,0.5743504213483146,0.5601173020527859,0.46632653061224494,"(np.float64(0.5891853932584269), 12)","(np.float64(0.5645161290322581), 15)","(np.float64(0.6668367346938775), 1)"
17,0.5840063202247191,0.563049853372434,0.488265306122449,"(np.float64(0.5891853932584269), 12)","(np.float64(0.5645161290322581), 15)","(np.float64(0.6668367346938775), 1)"
18,0.5973490168539326,0.5909090909090909,0.5048469387755102,"(np.float64(0.5973490168539326), 18)","(np.float64(0.5909090909090909), 18)","(np.float64(0.6668367346938775), 1)"
19,0.6057759831460674,0.5894428152492669,0.508673469387755,"(np.float64(0.6057759831460674), 19)","(np.float64(0.5909090909090909), 18)","(np.float64(0.6668367346938775), 1)"
20,0.6071804775280898,0.5645161290322581,0.5017857142857143,"(np.float64(0.6071804775280898), 20)","(np.float64(0.5909090909090909), 18)","(np.float64(0.6668367346938775), 1)"
21,0.6265800561797753,0.5689149560117303,0.48494897959183675,"(np.float64(0.6265800561797753), 21)","(np.float64(0.5909090909090909), 18)","(np.float64(0.6668367346938775), 1)"
22,0.6175386235955057,0.5674486803519062,0.4836734693877551,"(np.float64(0.6265800561797753), 21)","(np.float64(0.5909090909090909), 18)","(np.float64(0.6668367346938775), 1)"
23,0.6232443820224719,0.5953079178885631,0.4920918367346939,"(np.float64(0.6265800561797753), 21)","(np.float64(0.5953079178885631), 23)","(np.float64(0.6668367346938775), 1)"
24,0.6003335674157304,0.592375366568915,0.48698979591836733,"(np.float64(0.6265800561797753), 21)","(np.float64(0.5953079178885631), 23)","(np.float64(0.6668367346938775), 1)"
25,0.6224543539325843,0.6026392961876833,0.5135204081632653,"(np.float64(0.6265800561797753), 21)","(np.float64(0.6026392961876833), 25)","(np.float64(0.6668367346938775), 1)"
26,0.635621488764045,0.5909090909090908,0.511734693877551,"(np.float64(0.635621488764045), 26)","(np.float64(0.6026392961876833), 25)","(np.float64(0.6668367346938775), 1)"
27,0.6192064606741574,0.5953079178885631,0.48316326530612247,"(np.float64(0.635621488764045), 26)","(np.float64(0.6026392961876833), 25)","(np.float64(0.6668367346938775), 1)"
28,0.6533532303370787,0.592375366568915,0.5010204081632653,"(np.float64(0.6533532303370787), 28)","(np.float64(0.6026392961876833), 25)","(np.float64(0.6668367346938775), 1)"
29,0.6495786516853932,0.5997067448680352,0.510204081632653,"(np.float64(0.6533532303370787), 28)","(np.float64(0.6026392961876833), 25)","(np.float64(0.6668367346938775), 1)"
