epoch,final_epoch,final_loss,final_acc,final_auc,final_precision,final_recall,final_f1_score
1,1,0.5882418155670166,0.7209302325581395,0.6339285714285714,0.8421052631578947,0.32653061224489793,0.47058823529411764
2,2,0.5981758236885071,0.7286821705426356,0.6660714285714286,0.85,0.3469387755102041,0.4927536231884058
3,2,0.5788984298706055,0.7286821705426356,0.6711734693877551,0.71875,0.46938775510204084,0.5679012345679012
4,4,0.6008293032646179,0.7441860465116279,0.638265306122449,0.8076923076923077,0.42857142857142855,0.56
5,4,0.6230703592300415,0.7209302325581395,0.6260204081632653,0.8421052631578947,0.32653061224489793,0.47058823529411764
6,4,0.6216220259666443,0.7441860465116279,0.6428571428571429,0.8076923076923077,0.42857142857142855,0.56
7,4,0.5830109715461731,0.7441860465116279,0.6563775510204082,0.8333333333333334,0.40816326530612246,0.547945205479452
8,4,0.5938655138015747,0.7441860465116279,0.6681122448979593,0.9444444444444444,0.3469387755102041,0.5074626865671642
9,4,0.5612261295318604,0.7286821705426356,0.6936224489795919,0.7692307692307693,0.40816326530612246,0.5333333333333333
10,4,0.5822044610977173,0.7596899224806202,0.6369897959183674,0.8461538461538461,0.4489795918367347,0.5866666666666667
11,11,0.6161484122276306,0.7364341085271318,0.6497448979591837,0.7586206896551724,0.4489795918367347,0.5641025641025641
12,11,0.5907574892044067,0.7441860465116279,0.6647959183673469,0.8636363636363636,0.3877551020408163,0.5352112676056338
13,11,0.5988855957984924,0.7286821705426356,0.6535714285714286,0.8888888888888888,0.32653061224489793,0.47761194029850745
14,11,0.5888906121253967,0.751937984496124,0.6568877551020408,0.8148148148148148,0.4489795918367347,0.5789473684210527
15,11,0.6311948895454407,0.7364341085271318,0.6270408163265306,0.8571428571428571,0.3673469387755102,0.5142857142857142
16,11,0.6384912729263306,0.751937984496124,0.625765306122449,0.9047619047619048,0.3877551020408163,0.5428571428571428
17,11,0.6268369555473328,0.7441860465116279,0.6454081632653061,0.8076923076923077,0.42857142857142855,0.56
18,11,0.6168400645256042,0.751937984496124,0.6346938775510204,0.9473684210526315,0.3673469387755102,0.5294117647058824
19,11,0.6252515912055969,0.7364341085271318,0.6298469387755102,0.8947368421052632,0.3469387755102041,0.5
20,11,0.6287844181060791,0.7441860465116279,0.6344387755102041,0.8333333333333334,0.40816326530612246,0.547945205479452
