epoch,train,best_epoch,best_train
1,6.322592854499817,1,6.322592854499817
2,6.3222620487213135,2,6.3222620487213135
3,6.323845148086548,2,6.3222620487213135
4,6.322580933570862,2,6.3222620487213135
5,6.322949528694153,2,6.3222620487213135
6,6.323225498199463,2,6.3222620487213135
7,6.322775363922119,2,6.3222620487213135
8,6.323937654495239,2,6.3222620487213135
9,6.322697639465332,2,6.3222620487213135
10,6.3228864669799805,2,6.3222620487213135
11,6.323099374771118,2,6.3222620487213135
12,6.3236985206604,2,6.3222620487213135
13,6.323962926864624,2,6.3222620487213135
14,6.324158310890198,2,6.3222620487213135
15,6.32335901260376,2,6.3222620487213135
16,6.323703169822693,2,6.3222620487213135
17,6.323631048202515,2,6.3222620487213135
18,6.323173999786377,2,6.3222620487213135
19,6.323343753814697,2,6.3222620487213135
20,6.324553608894348,2,6.3222620487213135
21,6.324581861495972,2,6.3222620487213135
22,6.32173490524292,22,6.32173490524292
23,6.324722409248352,22,6.32173490524292
24,6.324151635169983,22,6.32173490524292
25,6.323747396469116,22,6.32173490524292
26,6.323828101158142,22,6.32173490524292
27,6.323324203491211,22,6.32173490524292
28,6.323545455932617,22,6.32173490524292
29,6.324264883995056,22,6.32173490524292
30,6.3224921226501465,22,6.32173490524292
