epoch,final_epoch,final_loss,final_acc,final_auc,final_precision,final_recall,final_f1_score
1,1,0.8581627011299133,0.7441860465116279,0.7658163265306123,0.7352941176470589,0.5102040816326531,0.6024096385542169
2,2,0.9632320404052734,0.7364341085271318,0.7308673469387755,0.7142857142857143,0.5102040816326531,0.5952380952380952
3,3,0.9197413921356201,0.7596899224806202,0.7209183673469388,0.75,0.5510204081632653,0.6352941176470588
4,3,0.9335938096046448,0.7674418604651163,0.7196428571428571,0.7714285714285715,0.5510204081632653,0.6428571428571429
5,3,0.9872797131538391,0.7596899224806202,0.7298469387755102,0.725,0.5918367346938775,0.651685393258427
6,3,0.9506188035011292,0.7674418604651163,0.7221938775510204,0.7435897435897436,0.5918367346938775,0.6590909090909091
7,3,0.9000298976898193,0.7751937984496124,0.7655612244897959,0.7631578947368421,0.5918367346938775,0.6666666666666666
8,3,0.9034387469291687,0.7596899224806202,0.7441326530612244,0.725,0.5918367346938775,0.651685393258427
9,3,0.8957712054252625,0.7674418604651163,0.7283163265306123,0.7435897435897436,0.5918367346938775,0.6590909090909091
10,3,0.9182426333427429,0.751937984496124,0.7334183673469388,0.717948717948718,0.5714285714285714,0.6363636363636364
