epoch,train,best_epoch,best_train
1,4.663860529661179,1,4.663860529661179
2,4.651186376810074,2,4.651186376810074
3,4.647378504276276,3,4.647378504276276
4,4.649110585451126,3,4.647378504276276
5,4.647956311702728,3,4.647378504276276
6,4.650129497051239,3,4.647378504276276
7,4.650585740804672,3,4.647378504276276
8,4.646758407354355,8,4.646758407354355
9,4.644812792539597,9,4.644812792539597
10,4.644164502620697,10,4.644164502620697
11,4.64883953332901,10,4.644164502620697
12,4.643712401390076,12,4.643712401390076
13,4.6441870629787445,12,4.643712401390076
14,4.6460889875888824,12,4.643712401390076
15,4.645442843437195,12,4.643712401390076
16,4.643590986728668,16,4.643590986728668
17,4.644257307052612,16,4.643590986728668
18,4.640420466661453,18,4.640420466661453
19,4.640367209911346,19,4.640367209911346
20,4.641300350427628,19,4.640367209911346
21,4.64408951997757,19,4.640367209911346
22,4.639950841665268,22,4.639950841665268
23,4.638536334037781,23,4.638536334037781
24,4.637809485197067,24,4.637809485197067
25,4.639452219009399,24,4.637809485197067
26,4.637850373983383,24,4.637809485197067
27,4.639389991760254,24,4.637809485197067
