epoch,final_epoch,final_loss
1,1,4.663860529661179
2,2,4.651186376810074
3,3,4.647378504276276
4,3,4.647378504276276
5,3,4.647378504276276
6,3,4.647378504276276
7,3,4.647378504276276
8,8,4.646758407354355
9,9,4.644812792539597
10,10,4.644164502620697
11,10,4.644164502620697
12,12,4.643712401390076
13,12,4.643712401390076
14,12,4.643712401390076
15,12,4.643712401390076
16,16,4.643590986728668
17,16,4.643590986728668
18,18,4.640420466661453
19,19,4.640367209911346
20,19,4.640367209911346
21,19,4.640367209911346
22,22,4.639950841665268
23,23,4.638536334037781
24,24,4.637809485197067
25,24,4.637809485197067
26,24,4.637809485197067
27,24,4.637809485197067
