epoch,train,best_epoch,best_train
1,4.646971732378006,1,4.646971732378006
2,4.647746682167053,1,4.646971732378006
3,4.646291881799698,3,4.646291881799698
4,4.647973537445068,3,4.646291881799698
5,4.646870195865631,3,4.646291881799698
6,4.64926415681839,3,4.646291881799698
7,4.6499016880989075,3,4.646291881799698
8,4.647476375102997,3,4.646291881799698
9,4.645998150110245,9,4.645998150110245
10,4.645801454782486,10,4.645801454782486
11,4.649805724620819,10,4.645801454782486
12,4.64623561501503,10,4.645801454782486
13,4.6471564173698425,10,4.645801454782486
14,4.648345321416855,10,4.645801454782486
15,4.647098362445831,10,4.645801454782486
16,4.646970421075821,10,4.645801454782486
17,4.648024797439575,10,4.645801454782486
18,4.645975708961487,10,4.645801454782486
19,4.645806699991226,10,4.645801454782486
