epoch,train,best_epoch,best_train
1,5.5412605702877045,1,5.5412605702877045
2,5.541256457567215,2,5.541256457567215
3,5.541131347417831,3,5.541131347417831
4,5.527824550867081,4,5.527824550867081
5,5.204627454280853,5,5.204627454280853
6,4.963534325361252,6,4.963534325361252
7,4.958301931619644,7,4.958301931619644
8,4.934325009584427,8,4.934325009584427
9,4.915612429380417,9,4.915612429380417
10,4.883205235004425,10,4.883205235004425
11,4.83442234992981,11,4.83442234992981
12,4.7821144461631775,12,4.7821144461631775
13,4.772893100976944,13,4.772893100976944
14,4.76447132229805,14,4.76447132229805
15,4.757789254188538,15,4.757789254188538
16,4.748165786266327,16,4.748165786266327
17,4.73466283082962,17,4.73466283082962
18,4.711895525455475,18,4.711895525455475
19,4.699158251285553,19,4.699158251285553
20,4.696201920509338,20,4.696201920509338
21,4.696058988571167,21,4.696058988571167
22,4.684814393520355,22,4.684814393520355
23,4.681846529245377,23,4.681846529245377
24,4.677987813949585,24,4.677987813949585
25,4.679787904024124,24,4.677987813949585
26,4.677766382694244,26,4.677766382694244
27,4.680165261030197,26,4.677766382694244
28,4.673714578151703,28,4.673714578151703
29,4.677495926618576,28,4.673714578151703
30,4.674466133117676,28,4.673714578151703
31,4.672218561172485,31,4.672218561172485
32,4.671615540981293,32,4.671615540981293
33,4.669911891222,33,4.669911891222
34,4.670306593179703,33,4.669911891222
35,4.667333394289017,35,4.667333394289017
36,4.669389933347702,35,4.667333394289017
37,4.663664489984512,37,4.663664489984512
38,4.6619968712329865,38,4.6619968712329865
39,4.660300046205521,39,4.660300046205521
40,4.661232560873032,39,4.660300046205521
41,4.66281196475029,39,4.660300046205521
42,4.659056782722473,42,4.659056782722473
43,4.659376114606857,42,4.659056782722473
44,4.656507790088654,44,4.656507790088654
45,4.657258063554764,44,4.656507790088654
46,4.654678821563721,46,4.654678821563721
47,4.658684551715851,46,4.654678821563721
48,4.657821148633957,46,4.654678821563721
49,4.653765112161636,49,4.653765112161636
50,4.6538466811180115,49,4.653765112161636
51,4.6535903215408325,51,4.6535903215408325
52,4.65430548787117,51,4.6535903215408325
53,4.655868679285049,51,4.6535903215408325
54,4.654131442308426,51,4.6535903215408325
55,4.650528281927109,55,4.650528281927109
56,4.65156090259552,55,4.650528281927109
57,4.652042508125305,55,4.650528281927109
58,4.652430593967438,55,4.650528281927109
59,4.651529252529144,55,4.650528281927109
60,4.6498439610004425,60,4.6498439610004425
61,4.64998596906662,60,4.6498439610004425
62,4.6498576402664185,60,4.6498439610004425
63,4.64998072385788,60,4.6498439610004425
64,4.6487396359443665,64,4.6487396359443665
65,4.648622244596481,65,4.648622244596481
66,4.648207515478134,66,4.648207515478134
67,4.6493968069553375,66,4.648207515478134
68,4.649624347686768,66,4.648207515478134
69,4.648923099040985,66,4.648207515478134
70,4.649966657161713,66,4.648207515478134
71,4.649627596139908,66,4.648207515478134
72,4.647853642702103,72,4.647853642702103
73,4.650620460510254,72,4.647853642702103
74,4.647704541683197,74,4.647704541683197
75,4.651343464851379,74,4.647704541683197
76,4.6479600965976715,74,4.647704541683197
77,4.647648632526398,77,4.647648632526398
78,4.646521151065826,78,4.646521151065826
79,4.647934108972549,78,4.646521151065826
80,4.646443784236908,80,4.646443784236908
81,4.647621214389801,80,4.646443784236908
82,4.6478966772556305,80,4.646443784236908
83,4.647317260503769,80,4.646443784236908
84,4.64906308054924,80,4.646443784236908
85,4.647723972797394,80,4.646443784236908
86,4.6463901698589325,86,4.6463901698589325
87,4.646915107965469,86,4.6463901698589325
88,4.649069577455521,86,4.6463901698589325
89,4.649219334125519,86,4.6463901698589325
90,4.647609621286392,86,4.6463901698589325
91,4.6464899480342865,86,4.6463901698589325
92,4.645866751670837,92,4.645866751670837
93,4.646338075399399,92,4.645866751670837
94,4.6468706130981445,92,4.645866751670837
95,4.647010922431946,92,4.645866751670837
96,4.647037088871002,92,4.645866751670837
97,4.648281246423721,92,4.645866751670837
98,4.6479009091854095,92,4.645866751670837
99,4.6468326151371,92,4.645866751670837
100,4.646990269422531,92,4.645866751670837
