epoch,train,valid,test,best_train,best_valid,best_test
1,0.5595154494382022,0.6143695014662757,0.5672193877551022,"(np.float64(0.5595154494382022), 1)","(np.float64(0.6143695014662757), 1)","(np.float64(0.5672193877551022), 1)"
2,0.55078125,0.6275659824046921,0.5832908163265306,"(np.float64(0.5595154494382022), 1)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
3,0.5567942415730337,0.6070381231671553,0.5603316326530612,"(np.float64(0.5595154494382022), 1)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
4,0.5520540730337078,0.6136363636363636,0.5658163265306122,"(np.float64(0.5595154494382022), 1)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
5,0.5468311095505618,0.594574780058651,0.5556122448979592,"(np.float64(0.5595154494382022), 1)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
6,0.5506495786516854,0.6070381231671554,0.5598214285714287,"(np.float64(0.5595154494382022), 1)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
7,0.558154845505618,0.626099706744868,0.5553571428571428,"(np.float64(0.5595154494382022), 1)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
8,0.5623683286516854,0.6165689149560117,0.5677295918367347,"(np.float64(0.5623683286516854), 8)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
9,0.5570575842696629,0.624633431085044,0.5650510204081632,"(np.float64(0.5623683286516854), 8)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
10,0.5540730337078652,0.5901759530791789,0.5525510204081633,"(np.float64(0.5623683286516854), 8)","(np.float64(0.6275659824046921), 2)","(np.float64(0.5832908163265306), 2)"
