epoch,final_epoch,final_loss
1,1,4.663194984197617
2,2,4.651140600442886
3,3,4.6474001705646515
4,3,4.6474001705646515
5,3,4.6474001705646515
6,3,4.6474001705646515
7,3,4.6474001705646515
8,8,4.646853804588318
9,9,4.644553929567337
10,10,4.6438949406147
11,10,4.6438949406147
12,12,4.643371820449829
13,12,4.643371820449829
14,12,4.643371820449829
15,12,4.643371820449829
16,16,4.642819404602051
17,16,4.642819404602051
18,18,4.640018314123154
19,19,4.639998733997345
20,19,4.639998733997345
21,19,4.639998733997345
22,22,4.639699459075928
23,23,4.638502299785614
24,24,4.637946903705597
25,24,4.637946903705597
26,24,4.637946903705597
27,24,4.637946903705597
28,28,4.635934472084045
29,28,4.635934472084045
30,28,4.635934472084045
31,28,4.635934472084045
32,28,4.635934472084045
33,28,4.635934472084045
34,28,4.635934472084045
35,35,4.635227560997009
36,35,4.635227560997009
37,37,4.634583055973053
38,38,4.633878171443939
39,39,4.633596628904343
40,39,4.633596628904343
41,39,4.633596628904343
42,39,4.633596628904343
43,39,4.633596628904343
44,39,4.633596628904343
45,39,4.633596628904343
46,46,4.633008688688278
47,46,4.633008688688278
48,46,4.633008688688278
49,46,4.633008688688278
50,50,4.6320323050022125
51,50,4.6320323050022125
52,50,4.6320323050022125
53,50,4.6320323050022125
54,50,4.6320323050022125
55,55,4.63088795542717
56,55,4.63088795542717
57,55,4.63088795542717
58,55,4.63088795542717
59,55,4.63088795542717
60,60,4.630185484886169
61,61,4.629310667514801
62,61,4.629310667514801
63,61,4.629310667514801
64,64,4.628891289234161
65,64,4.628891289234161
66,66,4.628512293100357
67,66,4.628512293100357
68,66,4.628512293100357
69,66,4.628512293100357
70,66,4.628512293100357
71,66,4.628512293100357
72,72,4.628416061401367
73,72,4.628416061401367
74,74,4.62793356180191
75,74,4.62793356180191
76,74,4.62793356180191
77,77,4.627924263477325
78,78,4.626416176557541
79,78,4.626416176557541
80,78,4.626416176557541
81,78,4.626416176557541
82,78,4.626416176557541
83,78,4.626416176557541
84,78,4.626416176557541
85,78,4.626416176557541
86,78,4.626416176557541
87,78,4.626416176557541
