epoch,final_epoch,final_loss
1,1,5.541260600090027
2,2,5.54125639796257
3,3,5.541131287813187
4,4,5.527824759483337
5,5,5.204631984233856
6,6,4.963461846113205
7,7,4.958032071590424
8,8,4.933836370706558
9,9,4.91525200009346
10,10,4.883014529943466
11,11,4.835793823003769
12,12,4.783392667770386
13,13,4.774310529232025
14,14,4.766291946172714
15,15,4.760285377502441
16,16,4.751928269863129
17,17,4.740187048912048
18,18,4.7176313996315
19,19,4.702862232923508
20,20,4.700658589601517
21,21,4.697927504777908
22,22,4.687063664197922
23,23,4.683719992637634
24,24,4.679575204849243
25,24,4.679575204849243
26,26,4.678763687610626
27,26,4.678763687610626
28,28,4.6748130321502686
29,28,4.6748130321502686
30,28,4.6748130321502686
31,31,4.673748463392258
32,32,4.673260569572449
33,33,4.671659827232361
34,33,4.671659827232361
35,35,4.66939902305603
36,35,4.66939902305603
37,37,4.665505647659302
38,38,4.664345055818558
39,39,4.66256582736969
40,39,4.66256582736969
41,39,4.66256582736969
42,42,4.660551577806473
43,42,4.660551577806473
44,44,4.657836943864822
45,44,4.657836943864822
46,46,4.655560255050659
47,46,4.655560255050659
48,46,4.655560255050659
49,49,4.65446537733078
50,50,4.65433669090271
51,51,4.654044836759567
52,51,4.654044836759567
53,51,4.654044836759567
54,51,4.654044836759567
55,55,4.650636851787567
56,55,4.650636851787567
57,55,4.650636851787567
58,55,4.650636851787567
59,55,4.650636851787567
60,60,4.649968504905701
61,60,4.649968504905701
62,62,4.649795234203339
63,62,4.649795234203339
64,64,4.648667275905609
65,65,4.648481369018555
66,66,4.6480637192726135
67,66,4.6480637192726135
68,66,4.6480637192726135
69,66,4.6480637192726135
70,66,4.6480637192726135
71,66,4.6480637192726135
72,72,4.64763730764389
73,72,4.64763730764389
74,74,4.647482126951218
75,74,4.647482126951218
76,74,4.647482126951218
77,74,4.647482126951218
78,78,4.646387368440628
79,78,4.646387368440628
80,80,4.64620977640152
81,80,4.64620977640152
82,80,4.64620977640152
83,80,4.64620977640152
84,80,4.64620977640152
85,80,4.64620977640152
86,86,4.6461184322834015
87,86,4.6461184322834015
88,86,4.6461184322834015
89,86,4.6461184322834015
90,86,4.6461184322834015
91,86,4.6461184322834015
92,92,4.645778506994247
93,92,4.645778506994247
94,92,4.645778506994247
95,92,4.645778506994247
96,92,4.645778506994247
97,92,4.645778506994247
98,92,4.645778506994247
99,92,4.645778506994247
100,92,4.645778506994247
