epoch,final_epoch,final_loss,final_acc,final_auc,final_precision,final_recall,final_f1_score
1,1,0.5835825800895691,0.7441860465116279,0.6530612244897959,0.9,0.3673469387755102,0.5217391304347826
2,2,0.5949293971061707,0.7209302325581395,0.6625,0.8421052631578947,0.32653061224489793,0.47058823529411764
3,2,0.5802131295204163,0.7286821705426356,0.6818877551020408,0.85,0.3469387755102041,0.4927536231884058
4,2,0.5876920223236084,0.7286821705426356,0.6673469387755102,0.8888888888888888,0.32653061224489793,0.47761194029850745
5,2,0.5944486856460571,0.7131782945736435,0.6604591836734693,0.8333333333333334,0.30612244897959184,0.44776119402985076
6,2,0.6022764444351196,0.7209302325581395,0.6535714285714286,0.8823529411764706,0.30612244897959184,0.45454545454545453
7,2,0.5902312397956848,0.7209302325581395,0.6706632653061224,0.8823529411764706,0.30612244897959184,0.45454545454545453
8,2,0.5822650790214539,0.7364341085271318,0.6885204081632653,0.8947368421052632,0.3469387755102041,0.5
9,2,0.5821046829223633,0.7364341085271318,0.6647959183673469,0.8947368421052632,0.3469387755102041,0.5
10,2,0.6009069085121155,0.7286821705426356,0.6403061224489796,0.8888888888888888,0.32653061224489793,0.47761194029850745
