epoch,train,best_epoch,best_train
1,4.646878719329834,1,4.646878719329834
2,4.647652179002762,1,4.646878719329834
3,4.646251559257507,3,4.646251559257507
4,4.648090720176697,3,4.646251559257507
5,4.646895349025726,3,4.646251559257507
6,4.649260938167572,3,4.646251559257507
7,4.650023967027664,3,4.646251559257507
8,4.64731040596962,3,4.646251559257507
9,4.645993292331696,9,4.645993292331696
10,4.64597225189209,10,4.64597225189209
11,4.64973846077919,10,4.64597225189209
12,4.646234512329102,10,4.64597225189209
13,4.647010684013367,10,4.64597225189209
14,4.648374795913696,10,4.64597225189209
15,4.647043883800507,10,4.64597225189209
16,4.64713254570961,10,4.64597225189209
17,4.648073822259903,10,4.64597225189209
18,4.645909488201141,18,4.645909488201141
19,4.645800054073334,19,4.645800054073334
20,4.646878749132156,19,4.645800054073334
21,4.649532109498978,19,4.645800054073334
22,4.647133529186249,19,4.645800054073334
23,4.646277189254761,19,4.645800054073334
24,4.6460879147052765,19,4.645800054073334
25,4.647565096616745,19,4.645800054073334
26,4.64702782034874,19,4.645800054073334
27,4.648861587047577,19,4.645800054073334
28,4.645298272371292,28,4.645298272371292
29,4.649093419313431,28,4.645298272371292
30,4.647148370742798,28,4.645298272371292
