epoch,final_epoch,final_loss
1,1,4.646878719329834
2,1,4.646878719329834
3,3,4.646251559257507
4,3,4.646251559257507
5,3,4.646251559257507
6,3,4.646251559257507
7,3,4.646251559257507
8,3,4.646251559257507
9,9,4.645993292331696
10,10,4.64597225189209
11,10,4.64597225189209
12,10,4.64597225189209
13,10,4.64597225189209
14,10,4.64597225189209
15,10,4.64597225189209
16,10,4.64597225189209
17,10,4.64597225189209
18,18,4.645909488201141
19,19,4.645800054073334
20,19,4.645800054073334
21,19,4.645800054073334
22,19,4.645800054073334
23,19,4.645800054073334
24,19,4.645800054073334
25,19,4.645800054073334
26,19,4.645800054073334
27,19,4.645800054073334
28,28,4.645298272371292
29,28,4.645298272371292
30,28,4.645298272371292
