epoch,final_epoch,final_loss,final_acc,final_auc,final_precision,final_recall,final_f1_score
1,1,0.6655617356300354,0.6201550387596899,0.5975765306122449,0.0,0.0,0.0
2,2,0.6662476658821106,0.6201550387596899,0.5857142857142857,0.0,0.0,0.0
3,3,0.666027307510376,0.6201550387596899,0.5757653061224489,0.0,0.0,0.0
4,3,0.6660513877868652,0.6201550387596899,0.551530612244898,0.0,0.0,0.0
5,3,0.6655348539352417,0.6201550387596899,0.559438775510204,0.0,0.0,0.0
6,6,0.6647653579711914,0.6201550387596899,0.5522959183673469,0.0,0.0,0.0
7,6,0.6642739176750183,0.6201550387596899,0.5625,0.0,0.0,0.0
8,6,0.6651029586791992,0.6201550387596899,0.5622448979591836,0.0,0.0,0.0
9,6,0.6656210422515869,0.6201550387596899,0.5364795918367347,0.0,0.0,0.0
10,6,0.6663329005241394,0.6201550387596899,0.5306122448979591,0.0,0.0,0.0
11,6,0.6645904779434204,0.6201550387596899,0.5290816326530612,0.0,0.0,0.0
12,6,0.664634108543396,0.6201550387596899,0.5321428571428571,0.0,0.0,0.0
13,6,0.6639603972434998,0.6201550387596899,0.5428571428571429,0.0,0.0,0.0
14,6,0.6648607850074768,0.6201550387596899,0.5283163265306122,0.0,0.0,0.0
15,6,0.6644636392593384,0.6201550387596899,0.5252551020408164,0.0,0.0,0.0
